name,ein,year,ceo_name,compensation,other,total
Midflorida Credit Union,596194363,2022,Samuel S Moseley,999620.0,,999620.0
Midflorida Credit Union,596194363,2021,Duane K Jones,998463.0,,998463.0
Midflorida Credit Union,596194363,2020,Duane K Jones,968966.0,,968966.0
Midflorida Credit Union,596194363,2019,Duane K Jones,870637.0,,870637.0
Midflorida Credit Union,596194363,2018,Duane K Jones,799836.0,,799836.0
Midflorida Credit Union,596194363,2017,Duane K Jones,745530.0,1657612.0,2403142.0
Midflorida Credit Union,596194363,2016,Duane K Jones,575149.0,,575149.0
Midflorida Credit Union,596194363,2015,Duane Jones,544442.0,,544442.0
Midflorida Credit Union,596194363,2014,Duane Jones,576045.0,,576045.0
Midflorida Credit Union,596194363,2013,D Kevin Jones,551067.0,,551067.0
Numark Credit Union,366006909,2023,Lloyd Fredendall,401078.0,69394.0,470472.0
Numark Credit Union,366006909,2022,Lloyd Fredendall,884503.0,51422.0,935925.0
Numark Credit Union,366006909,2021,Lloyd Fredendall,354417.0,50132.0,404549.0
Numark Credit Union,366006909,2020,Ann Dubie,432949.0,82135.0,515084.0
Numark Credit Union,366006909,2019,Ann Dubie,430886.0,65876.0,496762.0
Numark Credit Union,366006909,2018,Ann Dubie,374299.0,70357.0,444656.0
Numark Credit Union,366006909,2017,Ann Dubie,357839.0,64816.0,422655.0
Numark Credit Union,366006909,2016,Ann Dubie,336728.0,73364.0,410092.0
Numark Credit Union,366006909,2015,Ann Dubie,311098.0,70137.0,381235.0
Numark Credit Union,366006909,2014,Ann Dubie,292235.0,63926.0,356161.0
Numark Credit Union,366006909,2013,Ann Dubie,269237.0,56965.0,326202.0
Royal Credit Union,396072970,2023,Brandon Riechers,1060776.0,747475.0,1808251.0
Royal Credit Union,396072970,2022,Brandon Riechers,1312772.0,722659.0,2035431.0
Royal Credit Union,396072970,2021,Brandon Riechers,986318.0,960172.0,1946490.0
Royal Credit Union,396072970,2020,Brandon Riechers,761291.0,928646.0,1689937.0
Royal Credit Union,396072970,2019,Brandon Riechers,677270.0,750138.0,1427408.0
Royal Credit Union,396072970,2018,Brandon Riechers,621238.0,504960.0,1126198.0
Royal Credit Union,396072970,2017,Rodolfo Pereira,457381.0,24402.0,481783.0
Royal Credit Union,396072970,2016,Rodolfo Pereira,748026.0,607273.0,1355299.0
Royal Credit Union,396072970,2015,Rodolfo Pereira,625863.0,565472.0,1191335.0
Royal Credit Union,396072970,2014,Rudy Pereira,1029882.0,29193.0,1059075.0
Royal Credit Union,396072970,2013,Rudy Pereira,919781.0,32878.0,952659.0
Credit Unions In The State Of Washington,910557925,2023,Donald Clark Jr,3850579.0,151274.0,4001853.0
Credit Unions In The State Of Washington,910557925,2022,Donald Clark Jr,1430828.0,275637.0,1706465.0
Credit Unions In The State Of Washington,910557925,2021,Donald Clark Jr,1401973.0,582133.0,1984106.0
Credit Unions In The State Of Washington,910557925,2020,Donald Clark Jr,1333310.0,581712.0,1915022.0
Credit Unions In The State Of Washington,910557925,2019,Donald Clark Jr,1277519.0,588146.0,1865665.0
Credit Unions In The State Of Washington,910557925,2018,Donald Clark Jr,752384.0,564639.0,1317023.0
Credit Unions In The State Of Washington,910557925,2017,Denise Reagan,1241174.0,60060.0,1301234.0
Credit Unions In The State Of Washington,910557925,2016,Denise Reagan,1116310.0,46355.0,1162665.0
Credit Unions In The State Of Washington,910557925,2015,Richard Brandsma,1644255.0,126066.0,1770321.0
Credit Unions In The State Of Washington,910557925,2014,Richard Brandsma,1615634.0,67647.0,1683281.0
Credit Unions In The State Of Washington,910557925,2013,Rick Brandsma,1594322.0,64917.0,1659239.0
State Chartered Credit Unions In Florida,590690965,2023,Brian E Wolfburg,2150560.0,48371.0,2198931.0
State Chartered Credit Unions In Florida,590690965,2022,Brian E Wolfburg,2098523.0,45591.0,2144114.0
State Chartered Credit Unions In Florida,590690965,2021,Brian E Wolfburg,1775069.0,38332.0,1813401.0
State Chartered Credit Unions In Florida,590690965,2020,Brian E Wolfburg,1623241.0,35287.0,1658528.0
State Chartered Credit Unions In Florida,590690965,2019,Brian E Wolfburg,1031369.0,31599.0,1062968.0
State Chartered Credit Unions In Florida,590690965,2018,Brian E Wolfburg,791564.0,16550.0,808114.0
State Chartered Credit Unions In Florida,590690965,2017,Terry R West ,790841.0,33483.0,824324.0
State Chartered Credit Unions In Florida,590690965,2016,Terry R West,872358.0,41118.0,913476.0
State Chartered Credit Unions In Florida,590690965,2015,Terry R West,768136.0,29802.0,797938.0
State Chartered Credit Unions In Florida,590690965,2014,Terry R West,684453.0,28799.0,713252.0
State Chartered Credit Unions In Florida,590690965,2013,Terry R West,570912.0,28746.0,599658.0
